word,hint
almond,"Nutty snack"
almost,"Just shy of"
aloof,"Distant"
aloud,"Audibly"
alpaca,"Woolly animal"
alpha,"First in line"
alphabetical,"In ABC order"
already,"By now"
also-ran,"Didn’t win"
altar,"Wedding focal point"
alter ego,"Second self"
alternate,"Switch back and forth"
alternative,"Another option"
although,"Even though"
altitude,"Height above sea level"
alto,"Mid-range singer"
altruism,"Selfless concern"
aluminum,"Foil material"
amass,"Pile up"
amateur,"Non-pro"
amaze,"Astonish"
amazing,"Mind-blowing"
ambassador,"Diplomatic rep"
amber,"Golden fossil resin"
ambiance,"Mood lighting, say"
ambidextrous,"Good with both hands"
ambition,"Drive to succeed"
ambivalent,"On the fence"
amble,"Walk leisurely"
ambush,"Surprise attack"
amenable,"Open to suggestion"
amendment,"Change to a law"
amenities,"Hotel perks"
amethyst,"Purple gemstone"
amiable,"Friendly"
amicable,"No hard feelings"
amidst,"In the middle of"
amino acid,"Protein building block"
amiss,"Not quite right"
amity,"Friendly relations"
ammo,"Rounds, for short"
amnesia,"Memory loss"
amnesty,"Official pardon"
amoeba,"Shape-shifting cell"
among,"In the midst of"
amorphous,"Without clear shape"
amount,"Add up"
ampersand,"“And” symbol"
ample,"More than enough"
amplify,"Turn up"
amputate,"Cut off surgically"
amulet,"Good luck charm"
amuse,"Entertain"
amusement park,"Roller coaster locale"
amusing,"Funny"
anagram,"Word scramble"
analogy,"Comparison"
analysis,"Deep dive"
analyst,"Data interpreter"
analyze,"Break down"
anarchist,"Rule rejecter"
anatomy,"Body structure"
ancestor,"Family forebear"
anchor,"TV news staple"
ancient history,"Long forgotten past"
andromeda,"Neighboring galaxy"
anecdote,"Short story"
anemia,"Low iron condition"
anemone,"Sea creature or flower"
anesthesia,"Surgical numbing"
angel,"Heavenly being"
angel investor,"Startup backer"
anger,"Fury"
angle,"Perspective"
angry,"Seeing red"
anguish,"Deep distress"
animal kingdom,"Zoological realm"
animate,"Bring to life"
animation,"Cartoon medium"
animator,"Pixar pro, maybe"
animosity,"Bad blood"
ankle,"Foot joint"
annex,"Add on"
annihilate,"Wipe out"
anniversary,"Yearly milestone"
announce,"Make public"
annoyance,"Minor irritation"
annual,"Once per year"
annuity,"Retirement income stream"
annul,"Declare void"
anoint,"Make official"
anomaly,"Outlier"
anonymous,"Name withheld"
another,"One more"
answer,"Reply"
antagonist,"Story villain"
anthem,"National song"
anthology,"Collection of works"
anticipate,"See coming"
anticlimax,"Disappointing end"
antidote,"Cure"
antifreeze,"Radiator fluid"
antique,"Old collectible"
antonym,"Opposite word"
antsy,"Can’t sit still"
anvil,"Blacksmith’s block"
anxiety,"Uneasy feeling"
anxious,"On edge"
anyway,"Back to the point…"
anywhere,"No particular place"
apart,"In pieces"
apathy,"Lack of interest"
apex,"Highest point"
aphorism,"Pithy saying"
apiary,"Bee farm"
aplomb,"Cool confidence"
apnea,"Sleep disorder"
apocalypse,"End times"
apologize,"Say sorry"
apology,"Expression of regret"
apostrophe,"Grammar mark"
apothecary,"Old-time pharmacist"
app,"Phone download"
appall,"Shock deeply"
apparatus,"Equipment"
apparel,"Clothing line"
appeal,"Attractiveness"
appear,"Come into sight"
appease,"Calm down"
appendix,"Extra section"
appetite,"Hunger"
applaud,"Clap for"
applause,"Audience approval"
appliance,"Kitchen device"
apply,"Submit"
appoint,"Assign officially"
appraise,"Assess value"
appreciate,"Value highly"
apprehend,"Catch"
approach,"Come near"
appropriate,"Suitable"
approval,"Green light"
approve,"OK"
approximate,"Roughly estimate"
apricot,"Orange fruit"
apron,"Kitchen cover"
aptitude,"Natural ability"
aquarium,"Fish tank"
aquatic,"Water-based"
aqueduct,"Water bridge"
arable,"Farm-ready"
arbiter,"Final judge"
arbitrary,"Random"
arbor,"Garden structure"
arcade,"Game center"
arcane,"Known by few"
arch,"Curved form"
archer,"Bow user"
archetype,"Original model"
archipelago,"Island chain"
architect,"Building designer"
archive,"Store away"
ardent,"Passionate"
arduous,"Very demanding"
area,"Square footage?"
arena,"Sports venue"
argue,"Debate"
arid,"Desert-dry"
arise,"Come up"
armada,"Fleet"
armadillo,"Armored critter"
armor,"Protective gear"
army,"Military force"
aroma,"Pleasant smell"
around,"Roughly"
arouse,"Wake up"
arraign,"Charge in court"
arrange,"Organize"
array,"Wide range"
arrest,"Detain"
arrival,"Landing"
arrive,"Show up"
arrogant,"Full of oneself"
arrowhead,"Pointed tip"
arsenal,"Weapon stash"
arson,"Deliberate fire"
art,"Creative expression"
article,"News piece"
artifact,"Historical item"
artificial,"Man-made"
artisan,"Skilled maker"
artist,"Creative type"
artwork,"Gallery piece"
asap,"Right away"
ascend,"Go up"
ascent,"Upward climb"
ashamed,"Full of regret"
aside,"Off to the side"
askew,"Crooked"
asleep,"Out cold"
aspect,"Feature"
assault,"Attack"
assert,"Declare"
assess,"Evaluate"
asset,"Valuable"
assign,"Delegate"
assist,"Help"
assume,"Suppose"
assure,"Reassure"
asteroid,"Space rock"
astonish,"Blow away"
astray,"Off course"
astronaut,"Space traveler"
astronomy,"Study of stars"
astute,"Sharp"
asylum,"Safe haven"
at bat,"In the lineup"
at bay,"Held off"
at best,"Optimistically"
at heart,"Deep down"
at last,"Finally"
at odds,"In conflict"
at stake,"On the line"
athlete,"Competitor"
atlas,"Map collection"
atmosphere,"Air around us"
atom,"Tiny unit"
atrocious,"Terrible"
attach,"Fasten"
attack,"Strike"
attain,"Achieve"
attempt,"Try"
attend,"Show up"
attention,"Focus"
attic,"Upper room"
attire,"Dress"
attitude,"Mindset"
attorney,"Legal rep"
attract,"Draw in"
auction,"Bidding event"
audience,"Crowd"
audio,"Sound"
audit,"Review"
augment,"Increase"
aunt,"Relative"
aura,"Vibe"
author,"Writer"
auto,"Car"
autumn,"Fall"
avail,"Use"
average,"Mediocre"
avoid,"Evade"
await,"Expect"
awake,"Up"
award,"Prize"
aware,"Knowing"
away,"Gone"
awesome,"Amazing"
awful,"Terrible"
awkward,"Uncomfortable"
awl,"Pointed tool"
awning,"Sunshade"
awry,"Off track"
axis,"Center line"
axle,"Wheel rod"
azure,"Sky blue"
