"word","hint"
"adrift","Without direction (6)"
"adroit","Nimble-fingered (6)"
"adulation","Excessive praise (9)"
"adultery","Marital betrayal (8)"
"advance","Move forward (7)"
"advancement","Promotion (11)"
"advantageous","Working in one’s favor (12)"
"advent","Arrival of something big (6)"
"adventurer","Thrill-seeker (10)"
"adversary","Opponent (9)"
"adverse","Working against (7)"
"advertise","Promote publicly (9)"
"aerial","Seen from above (6)"
"aerobics","Cardio workout (8)"
"aerosol","Spray can contents (7)"
"affable","Easy to like (7)"
"affection","Warm feeling (9)"
"affidavit","Sworn statement (9)"
"affiliate","Associated group (9)"
"affinity","Natural liking (8)"
"affirmative","Yes vote (11)"
"affix","Attach to (5)"
"afflict","Cause suffering (7)"
"affluent","Well-off (8)"
"afford","Foot the bill (6)"
"afield","Away from home base (6)"
"afloat","Staying above water (6)"
"afoul","In trouble with (5)"
"afro","Rounded hairstyle (4)"
"afterlife","What comes next? (9)"
"aftermath","Lingering result (9)"
"aftershock","Quake follower (10)"
"aftertaste","Lingering flavor (10)"
"again","Repeat performance (5)"
"against time","Racing the clock (7,4)"
"agate","Banded stone (5)"
"agenda","Meeting plan (6)"
"agent","Talent rep, maybe (5)"
"aggravate","Make worse (9)"
"aggregate","Total sum (9)"
"aggressive","Not backing down (10)"
"agile","Quick-moving (5)"
"aging","Getting older (5)"
"agitate","Stir up (7)"
"agonizing","Painfully slow (9)"
"agreeable","Easygoing (9)"
"agreement","Deal (9)"
"agriculture","Farming field (11)"
"ahead of time","In advance (5,2,4)"
"aid station","Marathon stop (3,7)"
"ailment","Minor illness (7)"
"aimless","Without direction (7)"
"airborne","Up in the sky (8)"
"airbrush","Touch up digitally (8)"
"air conditioned","Cool inside (3,11)"
"aircraft","Flying machine (8)"
"airfare","Cost of flying (7)"
"airline","Delta or United (7)"
"airport","Travel hub (7)"
"airspace","Sky territory (8)"
"airtight","Sealed shut (8)"
"aisle","Wedding walkway (5)"
"ajar","Slightly open (4)"
"akimbo","Hands-on-hips stance (6)"
"alabaster","Smooth and pale (9)"
"a la carte","Ordered individually (1,2,5)"
"alarm clock","Morning nuisance (5,5)"
"albatross","Burden to bear (9)"
"album","Music collection (5)"
"alchemy","Medieval science (7)"
"alert","On guard (5)"
"alfresco","Dining outside (8)"
"algae","Pond scum (5)"
"alias","Fake name (5)"
"alibi","Proof you weren’t there (5)"
"alienate","Push away (8)"
"alight","Get off, as a train (6)"
"align","Straighten out (5)"
"alike","Similar (5)"
"alimony","Divorce payment (7)"
"alive","Breathing (5)"
"alkaline","Basic, chemically (8)"
"all ears","Ready to listen (3,4)"
"all inclusive","Nothing extra to pay (3,9)"
"all knowing","Omniscient (3,7)"
"all nighter","Study session, maybe (3,7)"
"allot","Divide up (5)"
"all out","No holding back (3,3)"
"all over","Everywhere (3,4)"
"allowance","Weekly cash, maybe (9)"
"alloy","Metal mix (5)"
"allude","Hint at (6)"
"alluring","Tempting (8)"
"ally","Friendly nation (4)"
"alma mater","Old school (4,5)"
"almanac","Yearly reference (7)"
"almond","Nutty snack (6)"
"almost","Just shy of (6)"
"aloof","Distant (5)"
"aloud","Audibly (5)"
"alpaca","Woolly animal (6)"
"alpha","First in line (5)"
"alphabetical","In ABC order (12)"
"already","By now (7)"
"also ran","Didn’t win (4,3)"
"altar","Wedding focal point (5)"
"alter ego","Second self (5,3)"
"alternate","Switch back and forth (9)"
"alternative","Another option (11)"
"although","Even though (8)"
"altitude","Height above sea level (8)"
"alto","Mid-range singer (4)"
"altruism","Selfless concern (8)"
"aluminum","Foil material (8)"
"amass","Pile up (5)"
"amateur","Non-pro (7)"
"amaze","Astonish (5)"
"amazing","Mind-blowing (7)"
"ambassador","Diplomatic rep (10)"
"amber","Golden fossil resin (5)"
"ambiance","Mood lighting, say (8)"
"ambidextrous","Good with both hands (12)"
"ambition","Drive to succeed (8)"
"ambivalent","On the fence (10)"
"amble","Walk leisurely (5)"
"ambush","Surprise attack (6)"
"amenable","Open to suggestion (8)"
"amendment","Change to a law (9)"
"amenities","Hotel perks (9)"
"amethyst","Purple gemstone (8)"
"amiable","Friendly (7)"
"amicable","No hard feelings (8)"
"amidst","In the middle of (6)"
"amino acid","Protein building block (5,4)"
"amiss","Not quite right (5)"
"amity","Friendly relations (5)"
"ammo","Rounds, for short (4)"
"amnesia","Memory loss (7)"
"amnesty","Official pardon (7)"
"amoeba","Shape-shifting cell (6)"
"among","In the midst of (5)"
"amorphous","Without clear shape (9)"
"amount","Add up (6)"
"ampersand","“And” symbol (9)"
"ample","More than enough (5)"
"amplify","Turn up (7)"
"amputate","Cut off surgically (8)"
"amulet","Good luck charm (6)"
"amuse","Entertain (5)"
"amusement park","Roller coaster locale (9,4)"
"amusing","Funny (7)"
"anagram","Word scramble (7)"
"analogy","Comparison (7)"
"analysis","Deep dive (8)"
"analyst","Data interpreter (7)"
"analyze","Break down (7)"
"anarchist","Rule rejecter (9)"
"anatomy","Body structure (7)"
"ancestor","Family forebear (8)"
"anchor","TV news staple (6)"
"ancient history","Long forgotten past (7,7)"
"andromeda","Neighboring galaxy (9)"
"anecdote","Short story (8)"
"anemia","Low iron condition (6)"
"anemone","Sea creature or flower (7)"
"anesthesia","Surgical numbing (10)"
"angel","Heavenly being (5)"
"angel investor","Startup backer (5,8)"
"anger","Fury (5)"
"angle","Perspective (5)"
"angry","Seeing red (5)"
"anguish","Deep distress (7)"
"animal kingdom","Zoological realm (6,7)"
"animate","Bring to life (7)"
"animation","Cartoon medium (9)"
"animator","Pixar pro, maybe (8)"
"animosity","Bad blood (9)"
"ankle","Foot joint (5)"
"annex","Add on (5)"
"annihilate","Wipe out (10)"
"anniversary","Yearly milestone (11)"
"announce","Make public (8)"
"annoyance","Minor irritation (9)"
"annual","Once per year (6)"
"annuity","Retirement income stream (7)"
"annul","Declare void (5)"
"anoint","Make official (6)"
"anomaly","Outlier (7)"
"anonymous","Name withheld (9)"
"another","One more (7)"
"answer","Reply (6)"
"antagonist","Story villain (10)"
"anthem","National song (6)"
"anthology","Collection of works (9)"
"anticipate","See coming (10)"
"anticlimax","Disappointing end (10)"
"antidote","Cure (8)"
"antifreeze","Radiator fluid (10)"
"antique","Old collectible (7)"
"antonym","Opposite word (7)"
"antsy","Can’t sit still (5)"
"anvil","Blacksmith’s block (5)"
"anxiety","Uneasy feeling (7)"
"anxious","On edge (7)"
"anyway","Back to the point… (6)"
"anywhere","No particular place (8)"
"apart","In pieces (5)"
"apathy","Lack of interest (6)"
"apex","Highest point (4)"
"aphorism","Pithy saying (8)"
"apiary","Bee farm (6)"
"aplomb","Cool confidence (6)"
"apnea","Sleep disorder (5)"
"apocalypse","End times (10)"
"apologize","Say sorry (9)"
"apology","Expression of regret (7)"
"apostrophe","Grammar mark (10)"
"apothecary","Old-time pharmacist (10)"
"app","Phone download (3)"
"appall","Shock deeply (6)"
"apparatus","Equipment (9)"
"apparel","Clothing line (7)"
"appeal","Attractiveness (6)"
"appear","Come into sight (6)"
"appease","Calm down (7)"
"appendix","Extra section (8)"
"appetite","Hunger (8)"
"applaud","Clap for (7)"
"applause","Audience approval (8)"
"appliance","Kitchen device (9)"
"apply","Submit (5)"
"appoint","Assign officially (7)"
"appraise","Assess value (8)"
"appreciate","Value highly (10)"
"apprehend","Catch (9)"
"approach","Come near (8)"
"appropriate","Suitable (11)"
"approval","Green light (8)"
"approve","OK (7)"
"approximate","Roughly estimate (11)"
"apricot","Orange fruit (7)"
"apron","Kitchen cover (5)"
"aptitude","Natural ability (8)"
"aquarium","Fish tank (8)"
"aquatic","Water-based (7)"
"aqueduct","Water bridge (8)"
"arable","Farm-ready (6)"
"arbiter","Final judge (7)"
"arbitrary","Random (9)"
"arbor","Garden structure (5)"
"arcade","Game center (6)"
"arcane","Known by few (6)"
"arch","Curved form (4)"
"archer","Bow user (6)"
"archetype","Original model (9)"
"archipelago","Island chain (11)"
"architect","Building designer (9)"
"archive","Store away (7)"
"ardent","Passionate (6)"
"arduous","Very demanding (7)"
"area","Square footage? (4)"
"arena","Sports venue (5)"
"argue","Debate (5)"
"arid","Desert-dry (4)"
"arise","Come up (5)"
"armada","Fleet (6)"
"armadillo","Armored critter (9)"
"armor","Protective gear (5)"
"army","Military force (4)"
"aroma","Pleasant smell (5)"
"around","Roughly (6)"
"arouse","Wake up (6)"
"arraign","Charge in court (7)"
"arrange","Organize (7)"
"array","Wide range (5)"
"arrest","Detain (6)"
"arrival","Landing (7)"
"arrive","Show up (6)"
"arrogant","Full of oneself (8)"
"arrowhead","Pointed tip (9)"
"arsenal","Weapon stash (7)"
"arson","Deliberate fire (5)"
"art","Creative expression (3)"
"article","News piece (7)"
"artifact","Historical item (8)"
"artificial","Man-made (10)"
"artisan","Skilled maker (7)"
"artist","Creative type (6)"
"artwork","Gallery piece (7)"
"asap","Right away (4)"
"ascend","Go up (6)"
"ascent","Upward climb (6)"
"ashamed","Full of regret (7)"
"aside","Off to the side (5)"
"askew","Crooked (5)"
"asleep","Out cold (6)"
"aspect","Feature (6)"
"assault","Attack (7)"
"assert","Declare (6)"
"assess","Evaluate (6)"
"asset","Valuable (5)"
"assign","Delegate (6)"
"assist","Help (6)"
"assume","Suppose (6)"
"assure","Reassure (6)"
"asteroid","Space rock (8)"
"astonish","Blow away (8)"
"astray","Off course (6)"
"astronaut","Space traveler (9)"
"astronomy","Study of stars (9)"
"astute","Sharp (6)"
"asylum","Safe haven (6)"
"at bat","In the lineup (2,3)"
"at bay","Held off (2,3)"
"at best","Optimistically (2,4)"
"at heart","Deep down (2,5)"
"at last","Finally (2,4)"
"at odds","In conflict (2,4)"
"at stake","On the line (2,5)"
"athlete","Competitor (7)"
"atlas","Map collection (5)"
"atmosphere","Air around us (10)"
"atom","Tiny unit (4)"
"atrocious","Terrible (9)"
"attach","Fasten (6)"
"attack","Strike (6)"
"attain","Achieve (6)"
"attempt","Try (7)"
"attend","Show up (6)"
"attention","Focus (9)"
"attic","Upper room (5)"
"attire","Dress (6)"
"attitude","Mindset (8)"
"attorney","Legal rep (8)"
"attract","Draw in (7)"
"auction","Bidding event (7)"
"audience","Crowd (8)"
"audio","Sound (5)"
"audit","Review (5)"
"augment","Increase (7)"
"aunt","Relative (4)"
"aura","Vibe (4)"
"author","Writer (6)"
"auto","Car (4)"
"autumn","Fall (6)"
"avail","Use (5)"
"average","Mediocre (7)"
"avoid","Evade (5)"
"await","Expect (5)"
"awake","Up (5)"
"award","Prize (5)"
"aware","Knowing (5)"
"away","Gone (4)"
"awesome","Amazing (7)"
"awful","Terrible (5)"
"awkward","Uncomfortable (7)"
"awl","Pointed tool (3)"
"awning","Sunshade (6)"
"awry","Off track (4)"
"axis","Center line (4)"
"axle","Wheel rod (4)"
"azure","Sky blue (5)"
